Article URL,total_freq
http://lestweforgetuk.tumblr.com/post/164176767391/news-story-foreign-secretary-condemns-murder-of,2
http://www.1clickdaily.com/1257880,1
http://www.truepatriot.net/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses/,1
http://www.informationclearinghouse.info/47400.htm#.WWM-x9e-O_M.twitter,24
http://brazil.timesofnews.com/white-helmets-rescuers-shot-dead-in-syria-attack.html,1
http://feeds.feedburner.com/~r/RememberThe14Words/~3/0S4HOypGFZo/,1
https://noesis2017.com/2017/06/24/white-helmets-member-caught-on-camera-disposing-of-syrian-soldiers-mutilated-bodies-graphic-video-rt-news/,3
http://21stcenturywire.com/2017/05/26/john-pilger-exposes-white-helmets-as-uk-propaganda-construct-in-syria/,364
http://www.theamericanconservative.com/articles/ex-weapons-inspector-trumps-sarin-claims-built-on-lie/,120
https://www.podomatic.com/podcasts/21wire/episodes/2017-08-04T13_22_09-07_00,7
http://www.dailymail.co.uk/wires/ap/article-4786524/The-Latest-Rebels-fighting-Damascus-suburbs-kill-20.html,2
https://www.google.com/url?rct=j&sa=t&url=http%3A%2F%2Fwww.visordown.com%2Fmotorcycle-news-general-news%2Fend-road-white-helmets&ct=ga&cd=CAIyHDFjMmMxOGNkZDlhODUyY2M6Y28udWs6ZW46R0I&usg=AFQjCNEIwEd43_-sBhy31dhnxCV4z4jzfg,1
http://adf.ly/10512945/http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEaP0rDcpWfoXWhXiVv51FA_FuUQQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779577288356&ei=AaOQWYjtPI-b3QGm8ZKwBA&url=https://www.usnews.com/news/world/articles/2017-08-13/the-latest-rebels-fighting-for-damascus-suburbs-kill-20,1
http://www.ipsnews.net/2016/08/133-organisations-nominate-syrias-white-helmets-for-nobel-peace-prize/,5
https://www.salon.com/2017/05/25/yet-another-video-shows-u-s-funded-white-helmets-assisting-public-held-executions-in-rebel-held-syria_partner/,39
http://www.foxnews.com/world/2017/08/12/7-white-helmets-members-shot-dead-in-northwestern-syria.html,80
https://www.rt.com/news/378695-oscar-white-helmets-win/,4
http://www.independent.co.uk/news/uk/politics/lords-stunned-by-tory-peers-ira-funding-claim-2126723.html,1
http://21stcenturywire.com/2017/06/21/white-helmets-severed-heads-of-syrian-arab-army-soldiers-paraded-as-trophies-endorsed-by-channel-4/,924
https://1newsnet.com/the-latest-us-condemns-killing-of-7-white-helmets-in-syria/,1
https://www.telesurtv.net/english/news/Rhymes-Reasons-Interview-with-Vanessa-Beeley-20170802-0010.html,49
http://www.lasvegasnvblog.com,3
https://deazijnpisser.blogspot.com/2017/07/the-fraud-of-white-helmets.html,7
https://www.yahoo.com/news/7-white-helmets-members-shot-dead-northwestern-syria-090426442.html,59
https://politicalfilm.wordpress.com/2017/06/21/white-helmets-more-atrocities/,5
https://theintercept.com/2017/08/09/gulf-government-gave-secret-20-million-gift-to-d-c-think-tank/,93
https://drive.google.com/file/d/0B3teim0yZokqM01TOVE3RTNfZlE/view,1
http://www.hnvnews.com/newsdetail/623032_news,1
http://www.1clickdaily.com/636692,1
http://www.dailymail.co.uk/news/article-4784600/amp/White-Helmets-rescuers-shot-dead-Syria.html,348
http://www.mintpressnews.com/james-le-mesurier-british-ex-military-mercenary-founded-white-helmets/230320/,685
https://getpocket.com/s/MB5WZ,1
https://1newsnet.com/seven-white-helmets-medics-killed-in-syrias-idlib/,1
http://www.blacklistednews.com/The_Fraud_of_the_White_Helmets/59520/0/38/38/Y/M.html,6
http://www.hispantv.com/newsdetail/htv/345452/casco-blanco-deshacer-cuerpo-decapitado-soldados-ejercito,2
http://www.nbcnews.com/storyline/isis-terror/7-white-helmets-medics-killed-syria-s-idlib-n792046?cid=public-rss_20170815,316
http://beforeitsnews.com/economy/2017/07/the-fraud-of-the-white-helmets-2900794.html,7
http://www.nationalist.ie/news/your-community/158398/Martin-Quinn-is-Tipperary-Person-of.html,4
http://news.findnigeria.com/article/318919_the-fraud-of-the-white-helmets-an-impressive-piece-of-propaganda,1
http://www.cnn.com/2017/02/26/us/white-helmets-oscar/index.html,23
https://urs17982.wordpress.com/2017/06/21/whitehelmets-erneut-bei-kriegsverbrechen-beteiligt/,18
https://www.riskmap.com/incidents/201816/,7
http://investmentwatchblog.com/more-staged-footage-from-the-white-helmets-definitely-not-oscar-worthy/,10
http://cooptv.wordpress.com/2017/06/21/gekoepfte-menschen-white-helmets-weisshelme-in-syrien-18-jahre/,1
http://www.middleeasteye.net/news/seven-white-helmets-members-shot-dead-northwestern-syria-1482497348,64
